price_in_rp,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,electricity,floors,year_built,garages, Bekasi, Bogor, Depok, Jakarta Barat, Jakarta Pusat, Jakarta Selatan, Jakarta Timur, Jakarta Utara, Tangerang
1800000000,2,1,224,90,1,1300,1,2007,1,0,1,0,0,0,0,0,0,0
1250000000,3,2,140,88,1,2200,1,2017,0,0,1,0,0,0,0,0,0,0
2150000000,2,4,216,110,0,3300,1,2018,1,0,1,0,0,0,0,0,0,0
1440000000,3,2,90,110,1,2200,2,2018,1,0,1,0,0,0,0,0,0,0
725000000,5,4,120,150,0,1300,2,2015,0,0,1,0,0,0,0,0,0,0
551000000,2,1,70,36,1,1300,1,2022,1,0,1,0,0,0,0,0,0,0
784000000,3,3,90,80,1,2200,2,2018,0,0,1,0,0,0,0,0,0,0
1080000000,3,2,84,84,0,2200,2,2018,1,0,1,0,0,0,0,0,0,0
6000000000,4,4,526,400,2,3500,3,2016,2,0,1,0,0,0,0,0,0,0
1620000000,5,2,104,180,1,2200,3,2018,1,0,1,0,0,0,0,0,0,0
930000000,2,1,84,39,1,2200,1,2018,0,0,1,0,0,0,0,0,0,0
950000000,2,1,108,50,1,3500,1,2018,0,0,1,0,0,0,0,0,0,0
7000000000,7,5,940,450,3,4400,2,2018,2,0,1,0,0,0,0,0,0,0
550000000,2,1,90,80,0,1300,1,2018,0,0,1,0,0,0,0,0,0,0
499000000,3,2,66,41,1,1300,2,2018,1,0,1,0,0,0,0,0,0,0
1700000000,2,2,84,96,1,2200,2,2020,0,0,1,0,0,0,0,0,0,0
4700000000,4,4,300,250,2,3500,3,2021,1,0,1,0,0,0,0,0,0,0
3500000000,3,4,323,300,0,5500,2,2019,0,0,1,0,0,0,0,0,0,0
1250000000,3,2,84,89,1,2200,2,2020,0,0,1,0,0,0,0,0,0,0
1500000000,3,2,128,99,2,4400,2,2018,0,0,1,0,0,0,0,0,0,0
375000000,2,1,60,45,1,1300,1,2022,0,0,1,0,0,0,0,0,0,0
900000000,2,2,90,45,1,1300,1,2018,0,0,0,1,0,0,0,0,0,0
563000000,2,1,61,37,0,1300,1,2022,0,0,0,1,0,0,0,0,0,0
660000000,2,1,80,45,0,2200,1,2018,1,0,0,1,0,0,0,0,0,0
870000000,3,1,131,140,0,1300,1,2018,1,0,0,1,0,0,0,0,0,0
865000000,3,2,58,76,0,3160,2,2022,1,0,0,1,0,0,0,0,0,0
506000000,2,2,40,46,1,2200,2,2022,1,0,0,1,0,0,0,0,0,0
525000000,2,1,75,36,1,1300,1,2022,1,0,0,1,0,0,0,0,0,0
1560000000,3,3,72,140,1,3500,2,2018,0,0,0,1,0,0,0,0,0,0
660000000,2,1,72,72,1,1300,1,2018,0,0,0,1,0,0,0,0,0,0
1420000000,3,3,86,110,0,3160,2,2022,1,0,0,1,0,0,0,0,0,0
1100000000,3,3,96,75,1,2200,2,2018,0,0,0,1,0,0,0,0,0,0
660000000,2,1,72,72,1,1300,1,2018,0,0,0,1,0,0,0,0,0,0
950000000,2,2,85,100,1,2200,2,2018,0,0,0,1,0,0,0,0,0,0
2310000000,5,5,127,180,2,2200,2,2022,0,0,0,1,0,0,0,0,0,0
1030000000,3,2,83,90,0,2200,2,2021,0,0,0,1,0,0,0,0,0,0
484000000,2,1,66,42,1,2200,1,2018,1,0,0,1,0,0,0,0,0,0
400000000,2,1,68,40,1,1300,1,2022,0,0,0,1,0,0,0,0,0,0
750000000,3,2,103,60,1,2200,1,2022,1,0,0,1,0,0,0,0,0,0
1220000000,3,3,81,80,1,2200,2,2022,0,0,0,1,0,0,0,0,0,0
680000000,2,2,60,60,1,2200,2,2022,1,0,0,1,0,0,0,0,0,0
900000000,3,1,81,81,1,1300,1,2018,1,0,0,1,0,0,0,0,0,0
679000000,3,2,57,54,0,2200,2,2022,0,0,0,1,0,0,0,0,0,0
1560000000,3,2,109,90,2,2200,2,2018,0,0,0,1,0,0,0,0,0,0
484000000,2,1,72,45,1,1300,1,2022,0,0,0,1,0,0,0,0,0,0
2640000000,4,4,110,140,1,2200,2,2018,1,0,0,1,0,0,0,0,0,0
2700000000,3,2,204,186,0,3160,1,2013,0,0,0,1,0,0,0,0,0,0
800000000,3,3,101,78,1,3500,2,2022,1,0,0,1,0,0,0,0,0,0
1200000000,2,2,98,78,2,2200,2,2018,0,0,0,1,0,0,0,0,0,0
900000000,3,2,60,75,1,2200,1,2022,1,0,0,1,0,0,0,0,0,0
1020000000,3,2,120,140,1,1300,1,2018,1,0,0,1,0,0,0,0,0,0
840000000,2,1,84,48,1,2200,1,2018,0,0,0,1,0,0,0,0,0,0
4000000000,5,4,425,237,3,2200,2,2018,1,0,0,1,0,0,0,0,0,0
1480000000,3,2,60,73,2,2200,2,2022,2,0,0,1,0,0,0,0,0,0
690000000,2,1,75,50,1,2200,2,2022,1,0,0,1,0,0,0,0,0,0
1800000000,3,3,106,150,1,3500,2,2018,0,0,0,1,0,0,0,0,0,0
840000000,2,1,84,48,1,2200,1,2018,0,0,0,1,0,0,0,0,0,0
3500000000,3,4,200,120,2,3160,2,2018,0,0,0,1,0,0,0,0,0,0
